Category 1,Category 2,Category 3,Product Description,Price,Currency
Health-pharmacy,Condoms-sexual-health,Adult-toys,My Viv 10 Function Pebble Personal Massager,10.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Lovehoney 1 Function Tease Finger Vibrator,9.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,LELO 6 Function Personal Massager - MIA 2,69.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Durex Intense Vibrations Ring,6.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Lovehoney Seventh Heaven 7 Piece Gift Set,75.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,My Viv 7 Function Dual Vibrator,60.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,My Viv 7 Function Curved Vibrator,30.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,My Viv 7 Function Personal Massager,45.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,My Viv 3 Piece Pelvic Floor Training Set,25.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,My Viv 3 Piece Dilator Set,25.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,My Viv Toy Cleaner - 100ml,8.0,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Lovehoney 10 Function Frisky Rabbit Vibrator,24.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Lovehoney 10 Function Glow Classic Vibrator,24.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Lovehoney 10 Function Ripple Wavy Vibrator,24.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Lovehoney 10 Function Frolic G-Spot Vibrator,24.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Smile Makers The Tennis Coach 6 Function Vibrator,39.9,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Smile Makers The Frenchman 6 Function Vibrator,39.9,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Smile Makers The Fireman 6 Function Vibrator,39.9,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Smile Makers The Millionaire 6 Function Vibrator,39.9,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Smile Makers The Surfer 4 Function Vibrator,19.95,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,So Divine 10 Function Vibrating Love Egg - Addicted,54.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,Lovehoney Wild Weekend 11 Piece Couple's Toy Kit,69.99,£
Health-pharmacy,Condoms-sexual-health,Adult-toys,So Divine 7 Function USB Rechargeable Vibrator - Get Lucky,29.99,£
